Model,Valid_MAE,Valid_RMSE,Valid_SMAPE,Valid_R2,Test_MAE,Test_RMSE,Test_SMAPE,Test_R2,Training_Time_sec,Tuning_Time_sec,Training_Time_min,Tuning_Time_min
LightGBM Baseline,0.12522603581093336,0.2179743376090498,57.34507587879351,0.6842058243937775,0.187377830804027,0.27295378173451135,60.54261170831033,0.6247507259944896,41.38467502593994,,0.6897445837656657,
LightGBM Random Search,0.11210315988392107,0.19878927207313796,54.371240608883696,0.7373488725158575,0.16668704722880553,0.249194195386678,56.274997412496674,0.6872354857432192,377.5553274154663,6409.138122081757,6.2925887902577715,106.8189687013626
LightGBM Bayesian,0.11222928699028585,0.19916474317660993,54.35778325449589,0.7363557500814949,0.16686390319094802,0.24966634143609634,56.316618384506334,0.6860491786175497,536.7537667751312,7214.09361410141,8.945896112918854,120.23489356835684
LightGBM Optuna,0.1120498479709185,0.19897244540955458,54.3960793149615,0.7368646124901346,0.16651728014853126,0.2493875917636013,56.20601302499961,0.6867498324110122,270.63116574287415,12693.599058389664,4.5105194290479025,211.55998430649439
